npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
69940329,TK BINA PUTIK,Jl. Cempaka Putih Barat III / 26,3,"EDY MARGONO, M.Pd.",021 4241816,,
69942706,TK ENGLISH SPEAKING MOSLEM,,,,,,
69945301,TK SATU ATAP TUNAS MAWAR,Jl. bunga Mawar No. 19B,4,,021 75816931,,
69946822,TK SATU ATAP PASAR BARU 05,,,,,,
69947448,BKB PAUD BAMBINI CERIA,Jl. Air Maya,,,,,
69948374,TK ROYAL TOTS ACADEMY,Jalan Jambu No.2,2,,021 3916677,,
69949108,PAUD AL FAJRI,Jl. AUP Barat,9,NENG EULIS,021 7800263,-6.295,106.833054
69949362,BKB PAUD AL GHIFARI,Jl. Seha No. 37,,,0857 82499416,,
69949368,TK NEGERI BENDUNGAN HILIR,,,,,,
69953402,TK YAPMI IMANUSAKTI,Jl Waru No. 18,,,,,
69953542,TK AL FALAH INTEGRATED ISLAMIC SCHOOL,Komplek DKI Blok M,4,"Hj. Sri Wahyuni, SE, MM",021 86906434,,
69954455,PAUD IMANUSAKTI,Jalan Waru V No. 18,,,,,
69959766,KB PERMAI,Jl. Pluit Karang Barat Blok O VI/1,6,"Syukur Karunia Indahwati, M.Psi",021 6617515,,
69960279,TK TWINKLE STARS,Jl. Cilandak Tengah 3 No. 5,,,,,
69960432,TK RAHMANIA,Kampung Utan,,,,,
69960432,TK ISLAM TERPADU AL FURQON,Jl. Swamsebada Timur XIX No. 9,3,Iroh Rohaniah,021 43931043,,
87052335,PAUD MAWAR 01,Jl. Sawah Lunto No. 22 C,,,,,
90101063,TK JAKARTA INTERCULTURAL SCHOOL,,,,,,
90101085,TK KINDERLAND,Jl. Kayu Putih Raya Blok A I   IV Kav.1 4,9,"Hj. DIANA MUTIARA, M.Pd.",021 4706722,,
90101095,TK NEW ZEALAND INDEPENDENT SCHOOL,Jl. Kemang Selatan I No. 1A,,,,,
90101100,TKK IPEKA INTEGRATED CHRISTIAN SCHOOL,jl. Batu Mulia Taman Meruya Ilir Blok K,18,Gabie Alvina,021 58905890,,
90101105,TK JAKARTA INTERCULTURAL SCHOOL,,,,,,
90101106,KB KINDERLAND,"Jl. kayu Putih Raya Blok A IV, Kav 1 4 Pulo Mas",12,DIANA MUTIARA,,,
90101106,KINDERLAND KB,,,,,,
90101111,TK KINDERLAND,Jl. Surya Timur Blok A No.5 Sunsrise Garden,,,,,
90101122,TK BUNDA MULIA SCHOOL,,,,,,
90101133,TK KINDERLAND,Jalan Bona vista Raya Perum Bona Indah garden,11,"Siti Nur Arafah, SE, MM",021 7692988,-6.300519,106.784615
 ,BKB PAUD KANA,Jl. Delman Sari VI/8,,,,,
 ,BKB PAUD MAWAR 04,Jl. Cipulir 1,,,,,
 ,BKB PAUD MUTIARA,Jl. Pulo Melati IV,,,,,
NP323575,TK PELITA HARAPAN PLUIT,Jl. Pluit Indah Raya,1,Alex Tho,,,
NP473428,TK DAARUL QUR'AN,Kalibata City Tower Sakura Lt. 2,13,Haimah,021 29317055,,
P2966289,PAUD HIMMATA,Jl. Plumpang B No. 30,5,Fatrida kartika S.pd.I,,,
P2966872,PAUD MEKAR CERIA PKBM NEGERI 12 TENGA,Jl. Merpati I No. 1A Komplek Paspamprs,3,"Enung Kusniawati,S.Pd",021 87792357,,
P2967042,PAUD RAMBUTAN,Jln. Rambutan,,,,,
P2967173,PKBM PEMUDA CREATIVE PRIMA PAUD,Jl. DI Panjaitan Gang Remaja II No. 15,,,,,
P2967187,PKBM PAUD AJISAKA,Jl. Raya Bekasi KM 17 Gg. RH Ismail Kp. Lio No. 14,,,,,
P2967206,PAUD TUNAS CERIA PKBMN 13 CIPINANG,Jl. Cipinang Baru III/15,3,Drs.G.SRIWIJATMIKO,021 47866859,,
P2967207,PKBM MIFTAHUL JANNAH,Jl. Pisangan Lama III / 2B,,,,,
